name,layer_index,layer_type,sub_type,proj_name,submodule_name,out_features,in_features,shape,params,params_M,priority
model.language_model.layers.4.linear_attn.in_proj_qkv,4,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.4.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.4.linear_attn.in_proj_z,4,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.4.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.4.linear_attn.out_proj,4,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.4.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.4.mlp.down_proj,4,linear_attention,FFN,down_proj,model.language_model.layers.4.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.4.mlp.gate_proj,4,linear_attention,FFN,gate_proj,model.language_model.layers.4.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.4.mlp.up_proj,4,linear_attention,FFN,up_proj,model.language_model.layers.4.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.5.linear_attn.in_proj_a,5,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.5.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.5.linear_attn.in_proj_b,5,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.5.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.5.linear_attn.in_proj_qkv,5,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.5.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.5.linear_attn.in_proj_z,5,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.5.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.5.linear_attn.out_proj,5,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.5.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.5.mlp.down_proj,5,linear_attention,FFN,down_proj,model.language_model.layers.5.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.5.mlp.gate_proj,5,linear_attention,FFN,gate_proj,model.language_model.layers.5.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.5.mlp.up_proj,5,linear_attention,FFN,up_proj,model.language_model.layers.5.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.6.linear_attn.in_proj_a,6,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.6.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.6.linear_attn.in_proj_b,6,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.6.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.6.linear_attn.in_proj_qkv,6,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.6.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.6.linear_attn.in_proj_z,6,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.6.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.6.linear_attn.out_proj,6,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.6.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.6.mlp.down_proj,6,linear_attention,FFN,down_proj,model.language_model.layers.6.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.6.mlp.gate_proj,6,linear_attention,FFN,gate_proj,model.language_model.layers.6.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.6.mlp.up_proj,6,linear_attention,FFN,up_proj,model.language_model.layers.6.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.7.mlp.down_proj,7,full_attention,FFN,down_proj,model.language_model.layers.7.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.7.mlp.gate_proj,7,full_attention,FFN,gate_proj,model.language_model.layers.7.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.7.mlp.up_proj,7,full_attention,FFN,up_proj,model.language_model.layers.7.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.7.self_attn.k_proj,7,full_attention,FullAttn,k_proj,model.language_model.layers.7.self_attn.k_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.7.self_attn.o_proj,7,full_attention,FullAttn,o_proj,model.language_model.layers.7.self_attn.o_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P1-次优
model.language_model.layers.7.self_attn.q_proj,7,full_attention,FullAttn,q_proj,model.language_model.layers.7.self_attn.q_proj,8192,2560,"[8192, 2560]",20971520,20.97152,P1-次优
model.language_model.layers.7.self_attn.v_proj,7,full_attention,FullAttn,v_proj,model.language_model.layers.7.self_attn.v_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.8.linear_attn.in_proj_a,8,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.8.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.8.linear_attn.in_proj_b,8,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.8.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.8.linear_attn.in_proj_qkv,8,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.8.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.8.linear_attn.in_proj_z,8,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.8.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.8.linear_attn.out_proj,8,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.8.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.8.mlp.down_proj,8,linear_attention,FFN,down_proj,model.language_model.layers.8.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.8.mlp.gate_proj,8,linear_attention,FFN,gate_proj,model.language_model.layers.8.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.8.mlp.up_proj,8,linear_attention,FFN,up_proj,model.language_model.layers.8.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.9.linear_attn.in_proj_a,9,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.9.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.9.linear_attn.in_proj_b,9,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.9.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.9.linear_attn.in_proj_qkv,9,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.9.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.9.linear_attn.in_proj_z,9,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.9.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.9.linear_attn.out_proj,9,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.9.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.9.mlp.down_proj,9,linear_attention,FFN,down_proj,model.language_model.layers.9.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.9.mlp.gate_proj,9,linear_attention,FFN,gate_proj,model.language_model.layers.9.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.9.mlp.up_proj,9,linear_attention,FFN,up_proj,model.language_model.layers.9.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.10.linear_attn.in_proj_a,10,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.10.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.10.linear_attn.in_proj_b,10,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.10.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.10.linear_attn.in_proj_qkv,10,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.10.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.10.linear_attn.in_proj_z,10,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.10.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.10.linear_attn.out_proj,10,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.10.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.10.mlp.down_proj,10,linear_attention,FFN,down_proj,model.language_model.layers.10.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.10.mlp.gate_proj,10,linear_attention,FFN,gate_proj,model.language_model.layers.10.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.10.mlp.up_proj,10,linear_attention,FFN,up_proj,model.language_model.layers.10.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.11.mlp.down_proj,11,full_attention,FFN,down_proj,model.language_model.layers.11.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.11.mlp.gate_proj,11,full_attention,FFN,gate_proj,model.language_model.layers.11.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.11.mlp.up_proj,11,full_attention,FFN,up_proj,model.language_model.layers.11.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.11.self_attn.k_proj,11,full_attention,FullAttn,k_proj,model.language_model.layers.11.self_attn.k_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.11.self_attn.o_proj,11,full_attention,FullAttn,o_proj,model.language_model.layers.11.self_attn.o_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P1-次优
model.language_model.layers.11.self_attn.q_proj,11,full_attention,FullAttn,q_proj,model.language_model.layers.11.self_attn.q_proj,8192,2560,"[8192, 2560]",20971520,20.97152,P1-次优
model.language_model.layers.11.self_attn.v_proj,11,full_attention,FullAttn,v_proj,model.language_model.layers.11.self_attn.v_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.12.linear_attn.in_proj_a,12,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.12.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.12.linear_attn.in_proj_b,12,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.12.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.12.linear_attn.in_proj_qkv,12,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.12.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.12.linear_attn.in_proj_z,12,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.12.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.12.linear_attn.out_proj,12,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.12.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.12.mlp.down_proj,12,linear_attention,FFN,down_proj,model.language_model.layers.12.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.12.mlp.gate_proj,12,linear_attention,FFN,gate_proj,model.language_model.layers.12.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.12.mlp.up_proj,12,linear_attention,FFN,up_proj,model.language_model.layers.12.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.13.linear_attn.in_proj_a,13,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.13.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.13.linear_attn.in_proj_b,13,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.13.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.13.linear_attn.in_proj_qkv,13,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.13.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.13.linear_attn.in_proj_z,13,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.13.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.13.linear_attn.out_proj,13,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.13.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.13.mlp.down_proj,13,linear_attention,FFN,down_proj,model.language_model.layers.13.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.13.mlp.gate_proj,13,linear_attention,FFN,gate_proj,model.language_model.layers.13.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.13.mlp.up_proj,13,linear_attention,FFN,up_proj,model.language_model.layers.13.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.14.linear_attn.in_proj_a,14,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.14.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.14.linear_attn.in_proj_b,14,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.14.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.14.linear_attn.in_proj_qkv,14,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.14.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.14.linear_attn.in_proj_z,14,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.14.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.14.linear_attn.out_proj,14,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.14.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.14.mlp.down_proj,14,linear_attention,FFN,down_proj,model.language_model.layers.14.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.14.mlp.gate_proj,14,linear_attention,FFN,gate_proj,model.language_model.layers.14.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.14.mlp.up_proj,14,linear_attention,FFN,up_proj,model.language_model.layers.14.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.15.mlp.down_proj,15,full_attention,FFN,down_proj,model.language_model.layers.15.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.15.mlp.gate_proj,15,full_attention,FFN,gate_proj,model.language_model.layers.15.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.15.mlp.up_proj,15,full_attention,FFN,up_proj,model.language_model.layers.15.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.15.self_attn.k_proj,15,full_attention,FullAttn,k_proj,model.language_model.layers.15.self_attn.k_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.15.self_attn.o_proj,15,full_attention,FullAttn,o_proj,model.language_model.layers.15.self_attn.o_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P1-次优
model.language_model.layers.15.self_attn.q_proj,15,full_attention,FullAttn,q_proj,model.language_model.layers.15.self_attn.q_proj,8192,2560,"[8192, 2560]",20971520,20.97152,P1-次优
model.language_model.layers.15.self_attn.v_proj,15,full_attention,FullAttn,v_proj,model.language_model.layers.15.self_attn.v_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.16.linear_attn.in_proj_a,16,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.16.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.16.linear_attn.in_proj_b,16,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.16.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.16.linear_attn.in_proj_qkv,16,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.16.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.16.linear_attn.in_proj_z,16,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.16.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.16.linear_attn.out_proj,16,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.16.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.16.mlp.down_proj,16,linear_attention,FFN,down_proj,model.language_model.layers.16.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.16.mlp.gate_proj,16,linear_attention,FFN,gate_proj,model.language_model.layers.16.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.16.mlp.up_proj,16,linear_attention,FFN,up_proj,model.language_model.layers.16.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.17.linear_attn.in_proj_a,17,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.17.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.17.linear_attn.in_proj_b,17,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.17.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.17.linear_attn.in_proj_qkv,17,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.17.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.17.linear_attn.in_proj_z,17,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.17.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.17.linear_attn.out_proj,17,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.17.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.17.mlp.down_proj,17,linear_attention,FFN,down_proj,model.language_model.layers.17.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.17.mlp.gate_proj,17,linear_attention,FFN,gate_proj,model.language_model.layers.17.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.17.mlp.up_proj,17,linear_attention,FFN,up_proj,model.language_model.layers.17.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.18.linear_attn.in_proj_a,18,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.18.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.18.linear_attn.in_proj_b,18,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.18.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
